# Dados Históricos de Negociação - Sistema de Investimentos
# Formato: CodigoNegociacao|Data|PrecoAbertura|PrecoFechamento|PrecoMinimo|PrecoMaximo|PrecoMedio|Volume
# Data no formato AAAAMMDD
# Preços em formato brasileiro (com vírgula decimal)

PETR4|20240315|30,12|30,45|29,87|30,78|15,005|1200000
PETR4|20240316|30,45|29,92|29,56|30,50|14,98|1150000
PETR4|20240317|29,92|31,23|29,80|31,40|15,615|1300000
PETR4|20240318|31,23|30,87|30,65|31,30|15,435|1100000
PETR4|20240319|30,87|29,45|29,21|30,90|14,725|1050000
PETR4|20240320|29,45|30,12|29,12|30,25|15,06|1180000
VALE3|20240315|65,23|66,12|64,87|66,45|33,06|850000
VALE3|20240316|66,12|65,45|65,02|66,20|32,725|820000
VALE3|20240317|65,45|67,89|65,23|68,12|33,945|920000
VALE3|20240318|67,89|66,78|66,45|67,95|33,39|780000
VALE3|20240319|66,78|64,32|63,98|66,85|32,16|730000
VALE3|20240320|64,32|65,87|64,12|66,05|32,935|860000
MGLU3|20240315|8,45|8,67|8,23|8,78|4,335|2100000
MGLU3|20240316|8,67|8,34|8,12|8,72|4,17|2050000
MGLU3|20240317|8,34|9,12|8,28|9,25|4,56|2300000
MGLU3|20240318|9,12|8,89|8,76|9,15|4,445|2150000
MGLU3|20240319|8,89|8,23|8,05|8,95|4,115|2000000
MGLU3|20240320|8,23|8,78|8,15|8,89|4,39|2250000
ITUB4|20240315|25,67|26,12|25,34|26,23|12,895|1800000
ITUB4|20240316|26,12|25,89|25,45|26,15|12,945|1750000
ITUB4|20240317|25,89|26,78|25,76|26,89|13,34|1950000
ITUB4|20240318|26,78|26,34|26,12|26,85|13,17|1700000
ITUB4|20240319|26,34|25,67|25,23|26,45|12,835|1650000
ITUB4|20240320|25,67|26,45|25,45|26,78|13,225|1850000
BBDC4|20240315|22,34|22,78|22,12|22,89|11,39|1400000
BBDC4|20240316|22,78|22,45|22,23|22,85|11,14|1350000
BBDC4|20240317|22,45|23,12|22,34|23,25|11,56|1550000
BBDC4|20240318|23,12|22,89|22,67|23,15|11,44|1450000
BBDC4|20240319|22,89|22,34|22,12|22,95|11,17|1300000
BBDC4|20240320|22,34|22,67|22,23|22,78|11,335|1400000
ABEV3|20240315|12,45|12,67|12,23|12,78|6,34|3200000
ABEV3|20240316|12,67|12,34|12,12|12,75|6,17|3100000
ABEV3|20240317|12,34|12,89|12,25|12,95|6,445|3400000
ABEV3|20240318|12,89|12,67|12,45|12,90|6,335|3250000
ABEV3|20240319|12,67|12,23|12,05|12,78|6,115|3000000
ABEV3|20240320|12,23|12,56|12,12|12,67|6,285|3150000
WEGE3|20240315|45,23|45,67|44,89|45,78|22,835|900000
WEGE3|20240316|45,67|45,34|45,12|45,78|22,67|850000
WEGE3|20240317|45,34|46,12|45,23|46,25|23,06|950000
WEGE3|20240318|46,12|45,89|45,67|46,15|22,925|900000
WEGE3|20240319|45,89|45,23|44,98|45,95|22,615|800000
WEGE3|20240320|45,23|45,78|45,12|45,89|22,895|875000
SUZB3|20240315|18,45|18,67|18,23|18,78|9,34|1600000
SUZB3|20240316|18,67|18,34|18,12|18,75|9,17|1550000
SUZB3|20240317|18,34|18,89|18,25|18,95|9,445|1700000
SUZB3|20240318|18,89|18,67|18,45|18,90|9,335|1650000
SUZB3|20240319|18,67|18,23|18,05|18,78|9,115|1500000
SUZB3|20240320|18,23|18,56|18,12|18,67|9,285|1575000
JBSS3|20240315|35,12|35,45|34,89|35,67|17,725|1100000
JBSS3|20240316|35,45|35,23|34,98|35,56|17,615|1050000
JBSS3|20240317|35,23|35,78|35,12|35,89|17,89|1200000
JBSS3|20240318|35,78|35,56|35,34|35,89|17,78|1150000
JBSS3|20240319|35,56|35,12|34,87|35,67|17,56|1000000
JBSS3|20240320|35,12|35,67|35,01|35,78|17,84|1125000 
